Tarih;Saat;Tüketim Miktar?(MWh)
4.07.2025;01:00;39.565,97
4.07.2025;02:00;38.066,19
4.07.2025;03:00;36.857,32
4.07.2025;04:00;36.226,21
4.07.2025;05:00;35.104,36
4.07.2025;06:00;34.707,21
4.07.2025;07:00;36.735,17
4.07.2025;08:00;42.150,02
4.07.2025;09:00;45.452,93
4.07.2025;10:00;47.248,31
4.07.2025;11:00;48.315,32
4.07.2025;12:00;47.085,38
4.07.2025;13:00;46.963,34
4.07.2025;14:00;49.340,05
4.07.2025;15:00;49.185,14
4.07.2025;16:00;48.987,68
4.07.2025;17:00;48.116,04
4.07.2025;18:00;46.891,68
4.07.2025;19:00;46.789,42
4.07.2025;20:00;47.726,69
4.07.2025;21:00;47.622,39
